id,observed_on,latitude,longitude,scientific_name,common_name
39771457,2020,36.06144717,-79.116775,Pyrus calleryana,Callery pear
39797943,2020,34.74267,-79.48092,Pyrus calleryana,Callery pear
39799106,2020,35.577847,-82.5627248,Pyrus calleryana,Callery pear
39806506,2020,35.44792661,-82.92050899,Pyrus calleryana,Callery pear
39847864,2020,34.23995506,-78.02883643,Pyrus calleryana,Callery pear
39930940,2020,35.42805992,-82.49446583,Pyrus calleryana,Callery pear
39965039,2020,36.06092725,-79.11452818,Pyrus calleryana,Callery pear
39965097,2020,36.05094638,-78.92438689,Pyrus calleryana,Callery pear
39972226,2020,35.46839467,-80.90839178,Pyrus calleryana,Callery pear
39975262,2020,34.4963354,-77.54496307,Pyrus calleryana,Callery pear
39977537,2020,34.73635556,-79.47903333,Pyrus calleryana,Callery pear
39982923,2020,36.14180262,-80.29996177,Pyrus calleryana,Callery pear
40077673,2020,35.5349622,-77.3788309,Pyrus calleryana,Callery pear
40088110,2020,36.01658593,-78.88346823,Pyrus calleryana,Callery pear
40129152,2020,35.90361234,-79.01357112,Pyrus calleryana,Callery pear
40129221,2020,35.90360266,-79.01359652,Pyrus calleryana,Callery pear
40132574,2020,35.79822104,-78.7477719,Pyrus calleryana,Callery pear
40137236,2020,35.57245807,-82.42458668,Pyrus calleryana,Callery pear
40179359,2020,35.62033821,-82.32900962,Pyrus calleryana,Callery pear
40185344,2020,35.38923875,-82.77275131,Pyrus calleryana,Callery pear
40192911,2020,35.58053833,-82.54773,Pyrus calleryana,Callery pear
40194626,2020,35.72871667,-81.41519167,Pyrus calleryana,Callery pear
40243011,2020,35.59110429,-82.539563,Pyrus calleryana,Callery pear
40274801,2020,35.92498,-82.333855,Pyrus calleryana,Callery pear
40308519,2020,35.48643615,-82.55144801,Pyrus calleryana,Callery pear
40397589,2020,35.32945606,-80.69303344,Pyrus calleryana,Callery pear
40399471,2020,35.27934,-80.96504333,Pyrus calleryana,Callery pear
40403374,2020,36.11477093,-78.80217994,Pyrus calleryana,Callery pear
40522892,2020,35.23185196,-80.84866871,Pyrus calleryana,Callery pear
40551213,2020,35.9859,-79.0580055,Pyrus calleryana,Callery pear
40636861,2020,35.91025709,-79.00964772,Pyrus calleryana,Callery pear
40696784,2020,34.76795367,-79.08603926,Pyrus calleryana,Callery pear
40752883,2020,35.91016087,-79.07468404,Pyrus calleryana,Callery pear
40761841,2020,35.61333999,-78.64231534,Pyrus calleryana,Callery pear
40818320,2020,35.16310606,-82.86542167,Pyrus calleryana,Callery pear
40824658,2020,35.57222483,-82.79608049,Pyrus calleryana,Callery pear
40843641,2020,35.98400556,-78.90884722,Pyrus calleryana,Callery pear
40864564,2020,35.31873333,-82.448775,Pyrus calleryana,Callery pear
40875824,2020,35.18441777,-79.5579063,Pyrus calleryana,Callery pear
40897205,2020,36.1473061,-78.98713819,Pyrus calleryana,Callery pear
40903562,2020,35.73525159,-78.77518907,Pyrus calleryana,Callery pear
41108839,2020,36.2,-77.39,Pyrus calleryana,Callery pear
41165494,2020,34.74511887,-79.47841893,Pyrus calleryana,Callery pear
41167556,2020,34.73809919,-79.47588795,Pyrus calleryana,Callery pear
